Multiplier,SSIM,Cost function
mul9999,0.99721058001291,2904.453409176001
mul9994,0.9949798323995288,2847.2504955030013
mul4993,0.9903822138224676,2802.785727168001
mul4994,0.98782258141751,2790.609995016001
mul3944,0.9825651884206782,2746.5897323232007
mul3844,0.9801019988455676,2763.6089585580003
mul4943,0.975931424101048,2746.5897323232007
mul4394,0.971724955273478,2746.5897323232007
mul3344,0.9694690182663942,2702.918957925601
mul4344,0.956857181349156,2690.956150664401
mul3443,0.941885154176593,2702.918957925601
mul4444,0.9242795125391068,2679.016233600001
mul2444,0.92170619931644,2737.013906880001
mul1444,0.8564613870885797,2747.032324920001
mul9993,0.9993733689369868,2859.544135198801
mul9994,0.9992917019348224,2847.2504955030013
mul9944,0.9981854592091284,2790.609995016001
mul3994,0.997455724597349,2802.785727168001
mul4944,0.995477030229127,2734.531907715001
mul4934,0.9943020115686456,2746.5897323232007
mul9494,0.9918879326982384,2790.609995016001
mul9444,0.9905820265332006,2734.531907715001
mul4443,0.9892551161892618,2690.956150664401
mul4444,0.9883534773911544,2679.016233600001
mul2444,0.9842393854639788,2737.013906880001
mul4244,0.9768450933832624,2737.013906880001
mul3244,0.9666965270733626,2749.0962159864007
mul2244,0.9629994938067116,2795.5804766400006
mul9999,0.9978745225018965,2904.453409176001
mul9994,0.9962042999381792,2847.2504955030013
mul3994,0.9880753864222492,2802.785727168001
mul3943,0.9862846686750336,2758.6704471282005
mul3944,0.9780633551331124,2746.5897323232007
mul3344,0.9719465140179906,2702.918957925601
mul3343,0.9693234990320831,2714.9046553836006
mul3244,0.965671208108233,2749.0962159864007
mul4344,0.9508266493651268,2690.956150664401
mul3444,0.9344398952202496,2690.956150664401
mul4443,0.9204031180738712,2690.956150664401
mul4444,0.9080859391564524,2679.016233600001
mul4414,0.8875609899990738,2747.032324920001
mul1441,0.8496406497912017,2815.9001877600003
mul9999,0.9976784947861822,2904.453409176001
mul9994,0.9965482766886428,2847.2504955030013
mul4993,0.9944287411847048,2802.785727168001
mul9943,0.9934549169741862,2802.785727168001
mul3944,0.9911843641223894,2746.5897323232007
mul4943,0.989320103208489,2746.5897323232007
mul4944,0.9865819283595768,2734.531907715001
mul3494,0.9762879385082276,2746.5897323232007
mul4494,0.972983092631757,2734.531907715001
mul3444,0.9712500829075228,2690.956150664401
mul4444,0.9652221160263236,2679.016233600001
mul4434,0.9649949879236638,2690.956150664401
mul3343,0.957224745225854,2714.9046553836006
mul1441,0.9428654490907395,2815.9001877600003
mul9999,0.9992442245242312,2904.453409176001
mul4923,0.9978850439054652,2805.343941067201
mul9944,0.997477811463104,2790.609995016001
mul3994,0.9969383910947986,2802.785727168001
mul4943,0.9959498190538476,2746.5897323232007
mul4944,0.994262041193033,2734.531907715001
mul4493,0.9889096257869304,2746.5897323232007
mul4443,0.9868665962138198,2690.956150664401
mul4444,0.9836924363029949,2679.016233600001
mul4244,0.98263781013714,2737.013906880001
mul4344,0.9773084101803112,2690.956150664401
mul4334,0.976772380026868,2702.918957925601
mul4343,0.9727797123240172,2702.918957925601
mul1343,0.96261850705095,2771.2395529128003
mul9994,0.998659608674494,2847.2504955030013
mul9944,0.9975882384717748,2790.609995016001
mul9844,0.99715179915012,2807.768774932201
mul3944,0.9961751608791368,2746.5897323232007
mul4944,0.9942514952037244,2734.531907715001
mul4943,0.9938844073477198,2746.5897323232007
mul9344,0.987642135942402,2746.5897323232007
mul3444,0.9859380237625344,2690.956150664401
mul4444,0.9846957496254284,2679.016233600001
mul4434,0.9810137643667516,2690.956150664401
mul4334,0.9782176440857364,2702.918957925601
mul1444,0.9708863436790918,2747.032324920001
mul2444,0.9574724240440587,2737.013906880001
mul2144,0.9449362566237084,2805.7512939840008
mul9999,0.995067513110238,2904.453409176001
mul3994,0.9942973372781612,2802.785727168001
mul4999,0.9939843984036468,2847.2504955030013
mul3944,0.9925525539498322,2746.5897323232007
mul3943,0.9921010866572058,2758.6704471282005
