Multiplier,SSIM,Cost function
mul8999,0.9978864096328124,2921.986959258601
mul9999,0.99721058001291,2904.453409176001
mul8994,0.9958672490390346,2864.5966605024005
mul9994,0.9949798323995288,2847.2504955030013
mul9984,0.9948342144948236,2864.5966605024005
mul9923,0.9931194656885306,2862.1540793340005
mul4999,0.990944015916438,2847.2504955030013
mul4993,0.9903822138224676,2802.785727168001
mul4994,0.98782258141751,2790.609995016001
mul9943,0.9870995815752452,2802.785727168001
mul9843,0.9848352315440668,2819.9923384860003
mul3943,0.9844565779586052,2758.6704471282005
mul3944,0.9825651884206782,2746.5897323232007
mul3844,0.9801019988455676,2763.6089585580003
mul9844,0.9789942451132614,2807.768774932201
mul9324,0.9771355922079508,2805.343941067201
mul4943,0.975931424101048,2746.5897323232007
mul3244,0.9741067680533192,2749.0962159864007
mul4394,0.971724955273478,2746.5897323232007
mul9344,0.9705318754634918,2746.5897323232007
mul3344,0.9694690182663942,2702.918957925601
mul3343,0.9672508485340028,2714.9046553836006
mul4343,0.9600426658401376,2702.918957925601
mul4344,0.956857181349156,2690.956150664401
mul3493,0.9502506337773026,2758.6704471282005
mul4494,0.9463564092854592,2734.531907715001
mul3443,0.941885154176593,2702.918957925601
mul3444,0.935383079156322,2690.956150664401
mul9444,0.9333442616902692,2734.531907715001
mul4444,0.9242795125391068,2679.016233600001
mul2444,0.92170619931644,2737.013906880001
mul1344,0.8987520413629588,2759.1244938180007
mul1444,0.8564613870885797,2747.032324920001
mul9999,0.9995033410242604,2904.453409176001
mul9998,0.9994838209649836,2921.986959258601
mul9994,0.9992917019348224,2847.2504955030013
mul8993,0.998913292815488,2876.9381316000004
mul8994,0.9988366029143376,2864.5966605024005
mul9923,0.9983319837222344,2862.1540793340005
mul9944,0.9981854592091284,2790.609995016001
mul3994,0.997455724597349,2802.785727168001
mul9844,0.997423222510621,2807.768774932201
mul4993,0.9967752342260622,2802.785727168001
mul4943,0.9961943637254111,2746.5897323232007
mul4944,0.995477030229127,2734.531907715001
mul4844,0.9947551940966116,2751.5033025480006
mul4934,0.9943020115686456,2746.5897323232007
mul3833,0.9933581560805992,2787.8889411684
mul9499,0.9921732421090222,2847.2504955030013
mul9493,0.9921652314955356,2802.785727168001
mul9494,0.9918879326982384,2790.609995016001
mul9443,0.9907214830024806,2746.5897323232007
mul9444,0.9905820265332006,2734.531907715001
mul3494,0.9900794310595188,2746.5897323232007
mul4443,0.9892551161892618,2690.956150664401
